SPIN_NH,OLO_ward,GW_ward,HC_ward,OLO_average
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.582474227,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.726804124,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.68556701,0.690721649,0.68556701,0.706185567,0.62371134
0.731958763,0.690721649,0.68556701,0.706185567,0.62371134
0.726804124,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.670103093,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.505154639,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.530927835,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.520618557,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.68556701,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.68556701,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.515463918,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.731958763,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.731958763,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.577319588,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.582474227,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.510309278,0.690721649,0.68556701,0.706185567,0.62371134
0.510309278,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.74742268,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.520618557,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.726804124,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.654639175,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.546391753,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.675257732,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.530927835,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.68556701,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.68556701,0.690721649,0.68556701,0.706185567,0.62371134
0.721649485,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.68556701,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.68556701,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.716494845,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.711340206,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.690721649,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.726804124,0.690721649,0.68556701,0.706185567,0.62371134
0.701030928,0.690721649,0.68556701,0.706185567,0.62371134
0.695876289,0.690721649,0.68556701,0.706185567,0.62371134
0.706185567,0.690721649,0.68556701,0.706185567,0.62371134
